,NLOK,AIG,NFLX
2008-08-08,0.015242494226328063,0.04320469798657722,0.01936966513460292
2008-08-11,0.008644222020018244,-0.016083634901487898,0.0370370370370372
2008-08-12,-0.012629679747406475,-0.06620351450756012,-0.04316770186335417
2008-08-13,0.007309273640931924,-0.03501094091903734,0.01135994806880869
2008-08-14,0.020408163265306145,0.03492063492063502,0.021822849807445532
2008-08-15,-0.010222222222222244,0.007449605609114673,-0.01821608040201006
2008-08-18,-0.0282891782667265,-0.06046107003044787,-0.02143314139475372
2008-08-19,-0.005083179297597051,-0.059259259259259345,-0.01569140241909117
2008-08-20,0.007895959126799745,0.02362204724409467,0.013616738625041647
2008-08-21,0.008294930875575979,-0.049038461538461586,-0.017038007863696025
2008-08-22,0.00822669104204743,0.0045500505561171245,0.0216666666666665
2008-08-25,-0.01450589301903904,-0.0548565676899847,-0.023164763458401127
2008-08-26,-0.004599816007359592,0.04579339723109688,0.005010020040080221
2008-08-27,0.01663585951940849,0.018329938900203624,0.018278497839813834
2008-08-28,0.02954545454545454,0.0754999999999999,0.015665796344647598
2008-08-29,-0.015011037527593807,-0.0009298000929800487,-0.00899742930591263
2008-09-02,-0.0026893769610040197,0.02187063750581686,0.0
2008-09-03,-0.013483146067415741,0.02823315118397085,0.0022697795071335847
2008-09-04,-0.017312072892938457,-0.060230292294065624,-0.03364606923325786
2008-09-05,-0.004172461752433909,0.0527803958529689,-0.007030465349849191
2008-09-08,0.010707635009310934,0.018800358102059267,0.016520566419419902
2008-09-09,-0.030400736987563293,-0.19288224956063282,-0.04676616915422882
2008-09-10,-0.026128266033254244,-0.047359825802939515,0.0003479471120388933
2008-09-11,0.01609756097560977,0.0028571428571428914,0.0020869565217391806
2008-09-12,-0.012481997119539012,-0.3082621082621082,0.02221450885109344
2008-09-15,-0.023821098687408893,-0.6079077429983526,-0.045500848896434576
2008-09-16,0.0019920318725101804,-0.21218487394957974,0.01245108502312342
2008-09-17,-0.02982107355864816,-0.4586666666666668,0.014054813773717534
2008-09-18,-0.006147540983606592,0.3251231527093599,0.07553707553707545
2008-09-19,0.024742268041237248,0.4312267657992568,0.02899484536082486
2008-09-22,-0.024144869215291798,0.22597402597402594,-0.00720100187852224
2008-09-23,0.005154639175257714,0.05932203389830515,-0.0056764427625355385
2008-09-24,0.006666666666666599,-0.33799999999999997,0.007611798287345373
2008-09-25,0.0015282730514518672,-0.08761329305135968,0.037771482530689404
